"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"RNA5-8SP2","ENSG00000200434","rRNA","PAR-CLIP,Piranha_0.01","","2"
"RNA5SP132","ENSG00000201595","rRNA","PAR-CLIP,Piranha_0.01","","2"
"RNA5SP283","ENSG00000202474","rRNA","PAR-CLIP,Piranha_0.01","","2"
"RNA5SP387","ENSG00000201096","rRNA","PAR-CLIP,Piranha_0.01","","2"
"RNA5SP388","ENSG00000199454","rRNA","PAR-CLIP,Piranha_0.01","","2"
"RNA5SP141","ENSG00000201413","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP338","ENSG00000222427","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP355","ENSG00000202187","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP452","ENSG00000199874","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP50","ENSG00000200601","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP506","ENSG00000272351","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP65","ENSG00000200036","rRNA","PAR-CLIP,Piranha_0.01","","1"
"RNA5SP74","ENSG00000200408","rRNA","PAR-CLIP,Piranha_0.01","","1"
"PLEC","ENSG00000178209","protein_coding","PAR-CLIP,Piranha_0.01","","382"
"DAG1","ENSG00000173402","protein_coding","PAR-CLIP,Piranha_0.01","","265"
"CLU","ENSG00000120885","protein_coding","PAR-CLIP,Piranha_0.01","","242"
"ACTG1","ENSG00000184009","protein_coding","PAR-CLIP,Piranha_0.01","","226"
"SLC16A3","ENSG00000141526","protein_coding","PAR-CLIP,Piranha_0.01","","214"
"ADGRG1","ENSG00000205336","protein_coding","PAR-CLIP,Piranha_0.01","","213"
"NFE2L1","ENSG00000082641","protein_coding","PAR-CLIP,Piranha_0.01","","213"
"SLC7A5","ENSG00000103257","protein_coding","PAR-CLIP,Piranha_0.01","","213"
"EIF4G1","ENSG00000114867","protein_coding","PAR-CLIP,Piranha_0.01","","209"
"FLNA","ENSG00000196924","protein_coding","PAR-CLIP,Piranha_0.01","","193"
"SLC3A2","ENSG00000168003","protein_coding","PAR-CLIP,Piranha_0.01","","178"
"PKM","ENSG00000067225","protein_coding","PAR-CLIP,Piranha_0.01","","168"
"MGAT1","ENSG00000131446","protein_coding","PAR-CLIP,Piranha_0.01","","161"
"GNAS","ENSG00000087460","protein_coding","PAR-CLIP,Piranha_0.01","","154"
"ALDOA","ENSG00000149925","protein_coding","PAR-CLIP,Piranha_0.01","","151"
"YTHDF2","ENSG00000198492","protein_coding","PAR-CLIP,Piranha_0.01","","141"
"ATP11A","ENSG00000068650","protein_coding","PAR-CLIP,Piranha_0.01","","139"
"BCAR1","ENSG00000050820","protein_coding","PAR-CLIP,Piranha_0.01","","133"
"RACK1","ENSG00000204628","protein_coding","PAR-CLIP,Piranha_0.01","","131"
"ARID1A","ENSG00000117713","protein_coding","PAR-CLIP,Piranha_0.01","","119"
"OLFM1","ENSG00000130558","protein_coding","PAR-CLIP,Piranha_0.01","","107"
"PHKB","ENSG00000102893","protein_coding","PAR-CLIP,Piranha_0.01","","107"
"ARFGAP1","ENSG00000101199","protein_coding","PAR-CLIP,Piranha_0.01","","105"
"HSPA8","ENSG00000109971","protein_coding","PAR-CLIP,Piranha_0.01","","104"
"LGALS3BP","ENSG00000108679","protein_coding","PAR-CLIP,Piranha_0.01","","95"
"RTN4","ENSG00000115310","protein_coding","PAR-CLIP,Piranha_0.01","","92"
"CD44","ENSG00000026508","protein_coding","PAR-CLIP,Piranha_0.01","","86"
"C15orf39","ENSG00000167173","protein_coding","PAR-CLIP,Piranha_0.01","","85"
"HFM1","ENSG00000162669","protein_coding","PAR-CLIP,Piranha_0.01","","85"
"PIGT","ENSG00000124155","protein_coding","PAR-CLIP,Piranha_0.01","","83"
"FOXM1","ENSG00000111206","protein_coding","PAR-CLIP,Piranha_0.01","","81"
"YTHDF3","ENSG00000185728","protein_coding","PAR-CLIP,Piranha_0.01","","81"
"DHCR24","ENSG00000116133","protein_coding","PAR-CLIP,Piranha_0.01","","76"
"MGA","ENSG00000174197","protein_coding","PAR-CLIP,Piranha_0.01","","76"
"RBM15","ENSG00000162775","protein_coding","PAR-CLIP,Piranha_0.01","","75"
"ITPRIP","ENSG00000148841","protein_coding","PAR-CLIP,Piranha_0.01","","74"
"TNRC18","ENSG00000182095","protein_coding","PAR-CLIP,Piranha_0.01","","74"
"AKAP1","ENSG00000121057","protein_coding","PAR-CLIP,Piranha_0.01","","72"
"STAU1","ENSG00000124214","protein_coding","PAR-CLIP,Piranha_0.01","","72"
"BCL9L","ENSG00000186174","protein_coding","PAR-CLIP,Piranha_0.01","","69"
"NUP62","ENSG00000213024","protein_coding","PAR-CLIP,Piranha_0.01","","69"
"PHLDB2","ENSG00000144824","protein_coding","PAR-CLIP,Piranha_0.01","","68"
"SETD5","ENSG00000168137","protein_coding","PAR-CLIP,Piranha_0.01","","68"
"TUBB","ENSG00000196230","protein_coding","PAR-CLIP,Piranha_0.01","","68"
"WDR6","ENSG00000178252","protein_coding","PAR-CLIP,Piranha_0.01","","68"
"DIDO1","ENSG00000101191","protein_coding","PAR-CLIP,Piranha_0.01","","67"
"SEC61A1","ENSG00000058262","protein_coding","PAR-CLIP,Piranha_0.01","","67"
"TIMP2","ENSG00000035862","protein_coding","PAR-CLIP,Piranha_0.01","","65"
"TSC22D1","ENSG00000102804","protein_coding","PAR-CLIP,Piranha_0.01","","65"
"L1CAM","ENSG00000198910","protein_coding","PAR-CLIP,Piranha_0.01","","64"
"OS9","ENSG00000135506","protein_coding","PAR-CLIP,Piranha_0.01","","64"
"SEPT9","ENSG00000184640","protein_coding","PAR-CLIP,Piranha_0.01","","64"
"TXNRD1","ENSG00000198431","protein_coding","PAR-CLIP,Piranha_0.01","","64"
"TMBIM6","ENSG00000139644","protein_coding","PAR-CLIP,Piranha_0.01","","63"
"DIAPH1","ENSG00000131504","protein_coding","PAR-CLIP,Piranha_0.01","","62"
"LARP4","ENSG00000161813","protein_coding","PAR-CLIP,Piranha_0.01","","62"
"P4HB","ENSG00000185624","protein_coding","PAR-CLIP,Piranha_0.01","","61"
"POGZ","ENSG00000143442","protein_coding","PAR-CLIP,Piranha_0.01","","61"
"TPD52L2","ENSG00000101150","protein_coding","PAR-CLIP,Piranha_0.01","","61"
"VEGFA","ENSG00000112715","protein_coding","PAR-CLIP,Piranha_0.01","","61"
"CCT5","ENSG00000150753","protein_coding","PAR-CLIP,Piranha_0.01","","60"
"DDX39B","ENSG00000198563","protein_coding","PAR-CLIP,Piranha_0.01","","60"
"MYC","ENSG00000136997","protein_coding","PAR-CLIP,Piranha_0.01","","60"
"PRRC2A","ENSG00000204469","protein_coding","PAR-CLIP,Piranha_0.01","","60"
"SLCO5A1","ENSG00000137571","protein_coding","PAR-CLIP,Piranha_0.01","","60"
"ERC1","ENSG00000082805","protein_coding","PAR-CLIP,Piranha_0.01","","59"
"TP53","ENSG00000141510","protein_coding","PAR-CLIP,Piranha_0.01","","59"
"AP1G1","ENSG00000166747","protein_coding","PAR-CLIP,Piranha_0.01","","58"
"LRFN4","ENSG00000173621","protein_coding","PAR-CLIP,Piranha_0.01","","58"
"SLC10A3","ENSG00000126903","protein_coding","PAR-CLIP,Piranha_0.01","","58"
"PLAGL1","ENSG00000118495","protein_coding","PAR-CLIP,Piranha_0.01","","57"
"ANKRD30BL","ENSG00000163046","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"BCL2L13","ENSG00000099968","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"CCNB1IP1","ENSG00000100814","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"EIF5A","ENSG00000132507","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"KCNMA1","ENSG00000156113","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"MBD3","ENSG00000071655","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"NFIC","ENSG00000141905","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"NR3C1","ENSG00000113580","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"SEC16A","ENSG00000148396","protein_coding","PAR-CLIP,Piranha_0.01","","56"
"C17orf62","ENSG00000178927","protein_coding","PAR-CLIP,Piranha_0.01","","55"
"EIF4G2","ENSG00000110321","protein_coding","PAR-CLIP,Piranha_0.01","","55"
"RNF182","ENSG00000180537","protein_coding","PAR-CLIP,Piranha_0.01","","55"
"NCLN","ENSG00000125912","protein_coding","PAR-CLIP,Piranha_0.01","","54"
"BRD2","ENSG00000204256","protein_coding","PAR-CLIP,Piranha_0.01","","53"
"MAZ","ENSG00000103495","protein_coding","PAR-CLIP,Piranha_0.01","","53"
"ACTB","ENSG00000075624","protein_coding","PAR-CLIP,Piranha_0.01","","52"
"PXN","ENSG00000089159","protein_coding","PAR-CLIP,Piranha_0.01","","52"
"MT-ND5","ENSG00000198786","protein_coding","PAR-CLIP,Piranha_0.01","","51"
"SCARB1","ENSG00000073060","protein_coding","PAR-CLIP,Piranha_0.01","","51"
"SLC39A1","ENSG00000143570","protein_coding","PAR-CLIP,Piranha_0.01","","51"
"SURF4","ENSG00000148248","protein_coding","PAR-CLIP,Piranha_0.01","","51"
"BSG","ENSG00000172270","protein_coding","PAR-CLIP,Piranha_0.01","","50"
"FTH1","ENSG00000167996","protein_coding","PAR-CLIP,Piranha_0.01","","50"
"RPL8","ENSG00000161016","protein_coding","PAR-CLIP,Piranha_0.01","","50"
"TSPAN3","ENSG00000140391","protein_coding","PAR-CLIP,Piranha_0.01","","50"
"TTYH3","ENSG00000136295","protein_coding","PAR-CLIP,Piranha_0.01","","50"
"EYA4","ENSG00000112319","protein_coding","PAR-CLIP,Piranha_0.01","","49"
"PMEPA1","ENSG00000124225","protein_coding","PAR-CLIP,Piranha_0.01","","49"
"ASXL1","ENSG00000171456","protein_coding","PAR-CLIP,Piranha_0.01","","48"
"CYP1B1","ENSG00000138061","protein_coding","PAR-CLIP,Piranha_0.01","","48"
"PID1","ENSG00000153823","protein_coding","PAR-CLIP,Piranha_0.01","","48"
"SLC37A3","ENSG00000157800","protein_coding","PAR-CLIP,Piranha_0.01","","48"
"GATA2","ENSG00000179348","protein_coding","PAR-CLIP,Piranha_0.01","","47"
"GATAD2A","ENSG00000167491","protein_coding","PAR-CLIP,Piranha_0.01","","47"
"LTBR","ENSG00000111321","protein_coding","PAR-CLIP,Piranha_0.01","","47"
"MT-ND4","ENSG00000198886","protein_coding","PAR-CLIP,Piranha_0.01","","47"
"ARHGAP5","ENSG00000100852","protein_coding","PAR-CLIP,Piranha_0.01","","46"
"CALR","ENSG00000179218","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"CHTF8","ENSG00000168802","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"DBNDD2","ENSG00000244274","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"DDR1","ENSG00000204580","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"HM13","ENSG00000101294","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"ZBTB7B","ENSG00000160685","protein_coding","PAR-CLIP,Piranha_0.01","","45"
"FBXL18","ENSG00000155034","protein_coding","PAR-CLIP,Piranha_0.01","","44"
"IER2","ENSG00000160888","protein_coding","PAR-CLIP,Piranha_0.01","","44"
"PYCR1","ENSG00000183010","protein_coding","PAR-CLIP,Piranha_0.01","","44"
"TMEM127","ENSG00000135956","protein_coding","PAR-CLIP,Piranha_0.01","","44"
"TMEM205","ENSG00000105518","protein_coding","PAR-CLIP,Piranha_0.01","","44"
"FAM83H","ENSG00000180921","protein_coding","PAR-CLIP,Piranha_0.01","","43"
"IP6K1","ENSG00000176095","protein_coding","PAR-CLIP,Piranha_0.01","","43"
"MCL1","ENSG00000143384","protein_coding","PAR-CLIP,Piranha_0.01","","43"
"SLC39A14","ENSG00000104635","protein_coding","PAR-CLIP,Piranha_0.01","","43"
"SLC52A2","ENSG00000185803","protein_coding","PAR-CLIP,Piranha_0.01","","43"
